salary,job_info,enterprise_attr,job_tags,job_url,enterprise_industry,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
15000-25000,"
                    主要职责：1.负责管理后端开发团队的管理，培训与考核；2.使用Go语言开发高并发服务端程序及维护；3.负责产品后端功能和接口分析、技术方案设计、开发计划制定和项目管理；4.负责建立后端开发规范、源代码检查、重构和优化；5.与产品/设计/前端开发/测试团队紧密合作，按时保质交付后端开发任务；6.其它上级领导安排的工作；任职要求：1.全日制大学本科或硕士毕业，计算机科学专业者优先；2.有丰富的Linux环境下的编程经验。3.熟悉Go语言，有Go语言项目开发经验；4.精通Redis或者GroupCache缓存技术；5.熟悉MySQL配置、维护、性能优化，并有良好的数据库设计能力；6.熟悉TCP、UDP、HTTP等网络协议；7.熟悉Javascript、Html、CSS、JSON等Web开发相关技术；8.  熟悉C/C++、python者优先9.3年以上后端开发经验者优先；
                ",民营/私企,五险一金|带薪病假|带薪年假|员工旅游|节日福利|下午茶充足|帅哥美女多|年终奖|绩效奖金|弹性工作|员工培训|晋升空间大|领导易相处|办公室漂亮|优秀人才多|更多,http://www.chinahr.com/job/5146100904266498.html?searchplace=400,移动互联网 ,51－100人,上海优雅广告有限公司,180.0,1,全职,经验2年,本科,12-19更新,0.16170001029968262,上海 闵行区,Golang开发工程师,www.chinahr.com
10001-15000,"
                    岗位职责： 1、结合公司大数据分析平台的规划，搭建以hadoop技术体系为核心的集群环境； 2、结合业务的实际数据情况，设计、开发基于hdfs/hbase/hive的数据查询分析； 3、辅助运维人员管理Hadoop集群环境，不断提高系统运行效率； 4、大规模日志分析、统计和建模。 岗位要求： 1、硕士及以上学历，计算机、软件、电子通信等相关专业； 2、精通java语言，熟悉JVM运行原理； 3、熟悉hadoop框架，熟练应用map-reduce，拥有海量数据分布式系统的开发经验优先； 4、熟悉Java、Shell，可以熟练使用Linux操作系统，了解Linux集群技术者优先； 5、了解数据挖掘技术，对数据结构、算法有所理解； 6、熟悉shell, python 或 R语言加分。  福利待遇： 1、免费员工公寓（提供热水器、免费wifi等）、员工餐厅供应三餐； 2、五险一金齐全，社保体系完善； 3、处于业界较高水平的薪资待遇，每年1-2次的薪资晋升； 4、篮球场、羽毛球场、台球室、乒乓球室等休闲设施场所供应； 5、定期健康检查、贴心的生日礼物、节日礼物； 6、五天工作制，带薪假期（年假、病假、婚假、产假）； 7、花园式的工作环境，宽敞明亮的办公环境。 发展平台： 1、国家大力支持的朝阳行业，博士后工作站，蓝鸽科研院，重视技术发展，培训、交流机会多； 2、新员工参加培训，一对一导师制，表现优秀可以进入公司战略人才培养计划； 3、公司大力启用优秀人才，两年带项目不是梦； 4、开发人员往“技术专家”和“高层管理”双线发展，公司百分之八十的技术高管和管理人才都是从内部选拔提升。 
                ",其他,五险一金|绩效奖金|餐饮补贴|住房补贴|弹性工作|定期体检|节日福利,http://www.chinahr.com/job/5367910075400710.html?searchplace=400,IT/互联网 ,101－300人,蓝鸽集团,180.0,1,全职,经验1年,硕士,12-9更新,0.23270893096923828,上海,大数据工程师,www.chinahr.com
6001-8000,"
                    岗位职责： 1 通过数据分析、数据挖掘、案件归类等手段，为部门日常未决管理提供决策建议； 2 负责周、月度、季度数据更新以及报告撰写，预警异常数据，并督促不达标模块整改优化； 3 相应考核指标数据提供、分析，激励方案数据采集和方案跟踪； 4 日常任务量与团队人力的分析评估； 5 领导交办的其他工作。  任职要求： 1.大专或以上学历，一年以上相关工作经验，条件优秀者可放宽 2.能熟练运用办公自动化软件，（Excel、word、PPT等），精通Excel，特别是函数运用 3.对数字敏感，具有较强的数据分析能力，善于制作各类报表 4.吃苦耐劳，抗压能力强，能承受一定工作压力 5.有良好的协调能力和团队协作精神 6.有信审、催收行业从业经验或曾有过运营相关经验者优先 
                ",其他,五险一金|带薪年假|弹性工作|节日福利|定期体检,http://www.chinahr.com/job/5367259976960516.html?searchplace=400,金融 ,101－300人,意真(上海)金融信息服务有限公司,180.0,1,全职,经验1年,其他,12-8更新,0.2233741283416748,上海,数据分析,www.chinahr.com
6001-8000,"
                    岗位职责： 1、竞品资料数据的收集、整理与分析，各品牌各渠道销售表现及分析； 2、公司业务数据报表整理及事务的日周月跟进，产品、运营、商务各部门等各项经营数据的收集汇总； 3、消费者UA调查（Usage &amp; Attitude），对用户进行分类，并不同类别提供营销建议； 4、电商渠道资料整理与调查（渠道基本资料，用户分析，活动整理，流量分析等），熟悉数据处理，或能熟练运用大数据进行分析。 任职要求： 1、数学、统计、计算机、运筹学、经济学、管理信息系统等专业优先，精通SPSS、EXCEL或其它统计分析软件；2、具有数据挖掘分析功底。 1-2年以上数据分析经验，结构化思维，对数据高度敏感，自我驱动，以结果为导向3、掌握数据分析/挖掘方法及相关算法，精通EXCEL 高级功能（如数据透视表，函数等）4、具备较强的独立处理问题和解决问题的能力；较强的报表制作能力，对数据分析、挖掘有实际经验和浓厚兴趣5、具有进销存,零售行业数据分析经验者优先考虑。
                ",其他,五险一金|绩效奖金|带薪年假|商业保险|定期体检|员工旅游|节日福利,http://www.chinahr.com/job/5367036053261316.html?searchplace=400,消费品 ,101－300人,润通国际贸易(上海)有限公司,180.0,1,全职,经验1年,本科,12-8更新,0.2292170524597168,上海,市场调研分析专员（Marketing Research）,www.chinahr.com
6001-8000,"
                    职位描述： 1、 独立规划商户会员营销的体系，并完成体系的搭建和运营；快速熟悉系统功能，独立操作商户上线； 2、 熟悉快消及连锁行业的会员运营； 3、 根据数据模型对会员进行分层，根据会员不同的需求制定不同的工具运营方案； 4、 在运营过程中，通过测试固化工具运营方案，打造精准化会员工具运营体系； 5、 业务流程的行为分析，明确各部门之间的协调工作，为流程优化提供支持； 6、 收集相关行业信息、定期用户调查并及时发现用户需求，为会员经营指明方向； 7、 基本的数据分析及分析能力；  任职要求： 1、 专科以上学历，市场营销专业, 应届毕生且学习组织能力较强，优先考虑； 2、 熟悉会员营销、及营销手段；性格开朗，积极热情，具有一定方案能力； 3、 能掌握用户需求，对数据敏感，具有独立的业务规划能力； 4、 具备较强的项目管理能力、沟通协调能力和资源整合能力； 5、 有积分、相关营销经验者优先，有大型toB工作经验者优先、熟悉数据挖掘者优先； 
                ",其他,五险一金|绩效奖金|带薪年假|弹性工作|定期体检|节日福利,http://www.chinahr.com/job/5366559447417351.html?searchplace=400,IT/互联网 ,101－300人,上海泰联天胜网络科技有限公司,180.0,1,全职,经验在读,大专,12-8更新,0.24310994148254395,上海,运营专员,www.chinahr.com
15001-20000,"
                    职位描述 l 参与消费金融业务流程的设计,授信政策的制定和调整,在把 控风险的同时优化前端客户体验; l 承担数据分析和风险模型的开发,包括但不限于信用评分模 型、行为评分模型、逾期催收模型等; l 搭建消费金融数据分析平台; 职位要求 l 本科以上学历,五年以上数据挖掘分析业务相关工作经验; l 熟练运用SAS或R等统计分析软件,熟悉逻辑回归,决策树, 神经网络等算法,具备数据挖掘相关项目的工作经验; l 关注消费金融、互联网金融,具有很强的学习研究能力; l 对新技术有浓厚的兴趣,乐于接受挑战;  
                ",其他,五险一金|绩效奖金|带薪年假|员工旅游,http://www.chinahr.com/job/5366412252941061.html?searchplace=400,IT/互联网 ,101－300人,即科金融信息服务(上海)有限公司,180.0,1,全职,经验1年,其他,12-8更新,0.1881389617919922,上海,数据分析经理,www.chinahr.com
10001-15000,"
                    带领团队完成公司下达的任务指标，认可并贯彻公司文化理念，进行团队建设并培养团队成员工作能力和责任意识，保障团队业绩产出。 岗位职责： 1. 遵守公司及部门制度，完善或协助完善团队各项管理制度。2. 销售团队建设， 指导团队制定目标及执行计划，寻找潜在客户及维护长期客户，保障业绩目标实现；3. 分析市场和行业发展及竞争市场信息，为团队提出建设性的业务拓展方案；4. 按照要求完成团队成员月度、季度以及年度工作绩效评定和员工绩效面谈； 5. 有效完成团队成员专业能力培养，制定完善培训计划并执行考核，保障可持续发展团队建设标准。  任职要求： 1、20-30周岁，有互联网营销团队或电销团队管理经验；2、普通话标准，逻辑清晰，具有良好的表达能力和沟通能力；3、性格开朗、积极向上，责任心强，热爱互联网行业； 4、具备高度的责任感和严谨的工作态度； 5、具备团队协作精神，有较强的承压能力；  优先条件： 熟悉DSP、百度网盟、SEM、社媒、互联网软件平台业务； 广告公司、互联网营销服务公司优先；  底薪+提成，参考年薪在10万至40万左右。  基本工资+绩效工资+提成+奖励+补贴+五险一金+旅游（国内外） 任职要求：1.有销售经验，带过团队。 2.有广告电销经验 
                ",其他,绩效奖金|年终奖|带薪年假|员工旅游|节日福利,http://www.chinahr.com/job/5367257531515392.html?searchplace=400,IT/互联网 ,101－300人,杭州米童网络技术有限公司上海分公司,180.0,1,全职,经验3年,大专,12-8更新,0.2763969898223877,上海,销售经理,www.chinahr.com
4000-8000,"
                    岗位职责：  1·负责开发项目系统分析研发组织实施； 2、负责开发符合系统要求的软件内容； 3、推广完善公司系统，完成项目接口开发； 4、运用统计学，数学，人工智能和数据挖掘知识研发项目； 5、提供技术指导，促进系统操作，技术和译码编程有效使用； 6、负责对产品提供个体测试，以确保其一贯性并保证质量； 7·协助相关应用软件的安装调试工程； 8·完成上级领导安排的工作。 任职要求    1、三年以上从事系统开发工作经验，参与过大型系统项目的开发； 2、精通统计学，人工智能，数据开发技术，有一年以上数据挖掘 项目的实践经验； 3、掌握至少一种统计分析和数据挖掘软件； 4、及时掌握业务领域内新技术及新趋势，具有较强的学习能力； 5、具备独立解决技术问题的能力；有较强的创新精神； 6、具有团队意识，有责任心，思路清晰，独立性强。   
                ",其他,五险一金|带薪年假|定期体检|免费班车,http://www.chinahr.com/job/5364135936393728.html?searchplace=400,IT/互联网 ,101－300人,哈工大大数据产业有限公司,180.0,1,全职,经验3年,本科,12-7更新,0.24398493766784668,上海,研发工程师,www.chinahr.com
4000-5000,"
                    岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责辖区市场信息的收集及竞争对手的分析；5、负责销售区域内销售活动的策划和执行，完成销售任务；6、管理维护客户关系以及客户间的长期战略合作计划。任职资格：1、1-2年以上销售行业工作经验，业绩突出者优先；2、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；3、具备一定的市场分析及判断能力，良好的客户服务意识；4、有责任心，能承受较大的工作压力；5、有团队协作精神，善于挑战。薪资待遇：底薪4000 提成10个点起步（频繁换工作者勿扰 推销电话勿扰）
                ",民营/私企,餐饮补贴|晋升空间大|绩效奖金|员工培训,http://www.chinahr.com/job/5239055171256837.html?searchplace=400,电子商务 ,20人以下,上海虔悦网络科技有限公司,180.0,1,全职,经验1年,高中,10-24更新,0.23885703086853027,上海 嘉定区,互联网销售+高提成+双休,www.chinahr.com
8000-9000,"
                    1、负责协助销售顾问经理完成各项销售工作 2、负责开发客户资源，提供良好的售后服务 3、负责维护客户关系，做好市场相关的各项业务事宜 4、负责制定销售计划和销售方案 5、负责撰写市场分析报告等工作 6、负责整理销售部门文件资料 7、负责销售部门的日常运营工作范畴通常包括网站内容更新维护、网站服务器维护、网站流程优化、数据挖掘分析、用户研究管理、网站营销策划等，网站运营常用的指标：PV、IP、注册用户、在线用户、网站跳出率、转化率、付费用户、在线时长、购买频次、ARPU值。任职要求:1、专科及以上学历，专业不限 2、具有1年以上销售助理类的工作经验 3、具有较强的工作责任心，做事细心 4、具有较强的沟通协调能力，亲和力强 5、熟练使用WORD，EXCEL等办公软件 6、具有良好的团体合作能力
                ",民营/私企,节日福利|绩效奖金|项目奖金|年终奖|交通补贴|差旅补贴|带薪年假|带薪病假,http://www.chinahr.com/job/1281ae84f7fb9556f4f18670j.html?searchplace=400,证券 ,21－50人,蝶加供应链(上海)有限公司,180.0,1,全职,经验3年,大专,3-18更新,0.22996187210083008,上海市,网站运营,www.chinahr.com
