salary,job_info,enterprise_attr,job_exp,job_url,enterprise_industry,job_num,job_enterprise,download_timeout,depth,enterprise_scale,edu,date,download_latency,job_place,job_name,download_slot
12000-17000/月,1、负责基于移动通信网络的海量信令和用户业务数据挖掘的相关解决方案的制定与推广。2、基于对移动通信网络语音&数据业务的理解，结合电信运营商的市场应用需求，构建数据分析模型，并为运营商的市场精准营销、流量经营和业务产品设计等工作，提供方案和服务支撑。3、结合交通、旅游、市政规划等政府及行业客户的需求，提供基于海量移动通信网络和用户业务数据挖掘的行业应用方案和服务支撑。4、基于已有的数据挖掘经验，开展针对移动通信领域的数据挖掘算法研究、模型研究。5、协同市场与销售等部门，负责同客户的技术方案交流，并分析客户对数据挖掘应用的需求。6、负责数据挖掘相关项目的实施与交付，全流程把控服务交付质量。岗位描述1、本科及以上学历，计算机、通信、数学、信息管理等相关专业，30岁以上；2、均具备5年以上通信相关行业的工作经验，3年以上数据挖掘相关工作经验，参与过大型数据挖掘项目；3、具有BI行业经验、互联网用户分析经验，及具备良好的逻辑及数理分析能力，熟悉数据挖掘的相关分析方法，熟练使用SAS、SPSS等分析软件等候选者优先；4、具备良好的沟通能力与宣讲能力，能够较好的与客户进行沟通，进行解决方案推广与需求挖掘的工作；5、在通信领域，从系统应用的角度，实现基于移动网络数据的行业应用分析，具备利用数据挖掘/统计学习的理论和方法解决实际问题的能力；6、熟悉自然语言处理、机器学习相关领域，有扎实的统计和概率学基础，在海量数据存储、处理、分析及建模方面有丰富经验；7、视求职者能力在面试时给出具体对应薪薪酬，欢迎中高级人员投递简历。,民营公司,8-9年经验,http://jobs.51job.com/fuzhou/81202451.html?s=01&t=0,计算机软件,招聘若干人,上海博登信息科技有限公司,180.0,2,50-150人,本科,12-24,1.149770975112915,福州,数据挖掘算法工程师（福州）,jobs.51job.com
10000-14999/月,,外资（欧美）,,http://jobs.51job.com/beijing/82775447.html?s=01&t=0,"计算机软件,通信/电信/网络设备",招聘1人,博彦科技股份有限公司,180.0,2,10000人以上,,12-24,0.03293585777282715,北京,数据挖掘工程师-北京-01903,jobs.51job.com
100000-300000/年,职位描述：1、结合实际需要，开发与改进一些数据挖掘基本工具2、为相关业务提供数据支持或者基于数据的解决方案职位要求：1、本科及以上学历，计算机相关专业2、熟悉常见机器学习算法（如逻辑回归、SVM、决策树、贝叶斯等）3、熟练使用C++、Python、JAVA至少一种语言4、熟悉MapReduce、Hive、Hbase优先5、熟悉基于上下文对文本情感分析数据建模，负责用户对产品的情感数据挖掘6、有一年以上工作经验优先，优秀应届生优先。,民营公司,,http://jobs.51job.com/beijing-cyq/75568582.html?s=01&t=0,专业服务(咨询、人力资源、财会),招聘若干人,北京卓思天成数据咨询股份有限公司,180.0,2,50-150人,,12-24,0.06039786338806152,北京-朝阳区,数据挖掘工程师,jobs.51job.com
8000-20000/月,岗位职责：1、运用数据挖掘各类算法自主构建相关的业务模型；2、基于业务场景及数据情况发现业务规律，并能根据实际情况编写数据分析报告；3、对用户与客户的行为进行分析，负责用户与客户行为分析的目标确定、数据采集、分析模型设计；4、指导开发人员完成算法实现，必要时独自完成算法设计与实现。任职要求：1、计算机、数学或统计学相关专业，2年以上工作经验；2、具有海量数据挖掘及分析相关项目经验，参加过完整的数据挖掘项目；3、精通各种数据挖掘算法及其原理，能根据业务场景，建立挖掘模型，选择最合适和高效的算法并实现；4、精通SQL，熟练使用Python或R语言，有sas/matlab/SPSS经验者优先；有Nosql/Hadoop等开发经验者优先；5、具有一定的算法设计和实现能力。,民营公司,,http://jobs.51job.com/guangzhou/83252460.html?s=01&t=0,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",招聘1人,广州麦优网络科技有限公司,180.0,2,150-500人,,12-24,0.05837702751159668,广州,数据挖掘工程师,jobs.51job.com
10000-14999/月,"岗位描述：1.负责构建机器学习和数据挖掘相关系统及平台；2.对现有数据进行数据挖掘和分析，提取关键信息用于产品开发和策略制定；3.开发机器学习和数据挖掘相关的系统及平台；4.应用机器学习等先进建模方法，利用大数据进行研发，保证模型准确率；5.应用模型成果，部署、跟踪、监控模型表现，根据监控结果进行模型优化，达到模型准确率要求；6.建立和完善统计分析模型，为运营决策提供支持；7.组织相关知识培训：编程、统计建模、大数据知识与技能等。任职要求：1. 计算机/数据/统计学专业本科及以上学历,两年以上机器学习和数据挖掘工作经验；2. 扎实的统计学、数据分析、数据挖掘基础和统计建模能力；3. 熟悉数据挖掘、机器学习、人工智能技术，尤其是关联分析、分类预测、聚类分析、回归分析、时间序列分析等常用分析方法；4. 精通R、SAS、SPSS、Matlab等挖掘工具；5.有统计、数值计算、模型开发研究基础,风险模型构建经验者优化。",创业公司,1年经验,http://jobs.51job.com/suzhou-gyyq/79616559.html?s=01&t=0,"计算机服务(系统、数据服务、维修),互联网/电子商务",招聘2人,苏州贝尔塔数据技术有限公司,180.0,2,50-150人,,12-24,0.04117989540100098,苏州-工业园区,数据挖掘工程师,jobs.51job.com
10000-18000/月,,国企,2年经验,http://jobs.51job.com/guangzhou-yxq/41824164.html?s=01&t=0,计算机软件,招聘1人,广东亿迅科技有限公司,180.0,2,1000-5000人,本科,12-24,0.03480815887451172,广州-越秀区,高级数据挖掘分析工程师（大数据方向）,jobs.51job.com
6000-7999/月,一、岗位要求：1.根据数据产品的设计进行数据探索、选择和实现数据挖掘算法、构建数据挖掘模型，对算法和模型进行优化；2.模型开发，与开发工程师一起完成算法和模型固化和并行等；3.通过数据探索和模型的输出等发现业务问题，进行深入分析，规划数据挖掘模型和解决方案；二、任职要求：1.统计学或数学或计算机等相关专业，本科及以上学历，具有扎实的统计和机器学习知识；2.精通SAS EM或SPSS Clementine 数据挖掘平台；3.具有丰富的独立实现算法和调优的经验，熟悉python等脚本语言优先；4.对数据敏感，具有良好的逻辑思维能力、理解业务的能力、沟通能力和表达呈现能力；,民营公司,,http://jobs.51job.com/nanjing/82731683.html?s=01&t=0,"计算机软件,计算机服务(系统、数据服务、维修)",招聘3人,南京瑞玥科技有限公司,180.0,2,150-500人,,12-24,0.0396571159362793,南京,数据挖掘工程师,jobs.51job.com
15000-25000/月,工作职责：1.	研究前沿的大数据挖掘，机器学习算法；2.	参与公司核心机器学习算法实现与部署；3.	挖掘用户行为数据及第三方数据，为公司个性化方案（推荐，搜索，广告等）提供大数据支持；4.	负责公司现有数据挖掘产品的优化，维护。任职要求：1.	2年以上数据挖掘等相关工作经验；2.    熟悉hadoop/spark/storm等分布式计算平台；3.    熟悉java/scala/c++等编程语言；4.    熟悉常用数据结构及机器学习算法。加分项：1.    有推荐系统研发经验；2.    有深度学习算法，自然语言处理，图像识别经验；3.    有大型互联网公司工作经验。,创业公司,2年经验,http://jobs.51job.com/shanghai/71989738.html?s=01&t=0,"互联网/电子商务,家具/家电/玩具/礼品",招聘1人,微鲸科技有限公司,180.0,2,500-1000人,,12-24,0.033715009689331055,上海,数据挖掘算法工程师(中级),jobs.51job.com
25000-29999/月,【职责描述】与业务专家合作，利用数理统计、数据挖掘的理论和方法解决实际问题，优化业务结果，提供决策支持；包括但不限于以下方向：1.广告投放优化：分析互联网数字营销数据，基于大数据平台建模，提高营销的ROI2.用户画像：负责构建用户数据模型，挖掘用户群体属性、潜在种子用户以及用户偏好等信息3.用户价值评分模型：利用特征工程提取用户特征，建立模型，找出高价值用户4.异常检测：能够对于数据异常，流量作弊情况进行及时预警【职位要求】1.数学、物理、统计、计算机、信息学院或相关专业本科及以上学历2.喜欢折腾数据并从数据中发现价值，具备良好的逻辑思考能力和快速的学习能力3.2年数据分析或数据挖掘或NLP经验。有互联网大数据分析经验，数字营销、广告行业经验者优先；4.熟悉python/R、SQL等语言，有使用科学计算类库或工具的经验者优先。,民营公司,5-7年经验,http://jobs.51job.com/beijing-hdq/83489538.html?s=01&t=0,"互联网/电子商务,计算机软件",招聘1人,北京安德信业信息咨询有限责任公司,180.0,2,50-150人,本科,12-24,0.04290890693664551,北京-海淀区,高级数据挖掘工程师,jobs.51job.com
15000-19999/月,岗位职责:任职资格:,外资（欧美）,,http://jobs.51job.com/beijing-hdq/78458434.html?s=01&t=0,互联网/电子商务,招聘若干人,百度在线网络技术（北京）有限公司,180.0,2,500-1000人,本科,12-24,0.03240609169006348,北京-海淀区,基础技术运营部_数据挖掘机器学习工程师,jobs.51job.com
