salary,job_info,enterprise_attr,job_exp,job_url,enterprise_industry,job_num,job_enterprise,download_timeout,depth,enterprise_scale,edu,date,download_latency,job_place,job_name,download_slot
30-40万/年,,民营公司,3-4年经验,http://jobs.51job.com/chengdu/83850153.html?s=01&t=0,"计算机软件,计算机服务(系统、数据服务、维修)",招聘若干人,成都天图大数据科技有限公司,180.0,3,少于50人,,12-23,0.10039091110229492,异地招聘,前端HTML5/C++/Go/Hadoop/算法/数据挖掘/资深工程师,jobs.51job.com
10000-15000/月,岗位职责：1.负责基于业务需求，实现常用算法、数据挖掘模型、统计模型2.参与数据可视化建设与报表建设3.协助数据库维护与数据的处理4.参加业务专题建模与数据挖掘建模5.参加推荐系统的建设岗位要求：1.大专或以上，计算机、数学相关专业毕业2.熟练使用常见的数据库，以及ETL与数据仓库建设经验3.有2年R/Python语言建模挖掘经验（包括BI、数据库使用）4.强大的学习能力与自我驱动力5.有BI项目建设工作经验，有爬虫经验的优先，有php/java经验优先,民营公司,,http://jobs.51job.com/guangzhou/82594444.html?s=01&t=0,互联网/电子商务,招聘2人,广州八百方信息技术有限公司,180.0,3,150-500人,大专,12-23,0.028568029403686523,广州,数据挖掘工程师,jobs.51job.com
15000-18000/月,职位描述：1、负责标签系统和用户画像体系的设计与建立；2、应用机器学习，语义分析，统计预测建模等前沿技术分析和挖掘海量内容和行为数据；3、参与大数据预测模型的产品设计，技术架构设计，搭建与开发；4、进行语义理解，信息抽取，统计，分类，检索和推荐系统等产品的研发。职位要求：1、计算机、数学或统计等相关专业本科及以上学历，3年以上数据科学相关工作经验；或者硕士或博士，1-2年以上相关经验；2、优秀的逻辑思维和独立思考能力，对数据有敏锐的直觉；3、扎实的机器学习、数理统计理论和技术基础，有语义分析，自然语言处理，推荐式系统等工程实践经验者优先；4、能够熟练应用统计预测模型，例如逻辑回归，决策树，聚类等模型；5、熟悉Linux开发环境，良好的系统编程、数据结构、算法基础、系统设计能力；6、扎实的编程基础，熟练应用SQL/Python/R/Java等编程语言进行Prototype 以及工程开发；7、熟悉Hadoop，Spark等分布式平台；熟悉开源搜索或自然语言处理项目，有海量数据处理经验者优先。,民营公司,3-4年经验,http://jobs.51job.com/guangzhou-thq/82115704.html?s=01&t=0,"互联网/电子商务,计算机软件",招聘1人,广东万丈金数信息技术股份有限公司,180.0,3,150-500人,本科,12-23,0.03701615333557129,广州-天河区,算法与数据挖掘工程师,jobs.51job.com
10000-20000/月,岗位职责：1、运用数据挖掘技术，深入挖掘和分析海量商业数据，并利用相关算法挖掘数据内在的模式和特征，发现潜在规律；2、处理网站上的相关信息，包括主题分类，标签系统，情感分类等，以及和内容相关的用户行为（包括潜在目标客户挖掘、用户细分聚类、用户流失预测；用户画像研究与挖掘，精准定向投放系统，自助化商业智能平台建设等）。3、和医学相关团队共同进行资料库的采集、整理、加工、维护和优化；4、不断完善和优化算法，以技术驱动公司业务成长，体现技术价值；5、负责基于历史数据与实时数据的分析与策略优化；6、包括但不限于用户行为分析、关联分析、时序建模、商业预测等任职资格：1、本科及以上学历，计算机，数学或统计学等相关专业2、3年以上相关工作经验，有互联网医疗、外企咨询公司工作经验者优先考虑；3、分析能力:分析、转化客户业务需求，并对关键点进行清晰简明统筹整理；4、沟通技巧:具备灵活的沟通能力，可以充分理解客户及公司内部相关部门对于其数据在前段展示的逻辑结构和需求，实现后端数据价值的充分展示；5、工具使用：精通一门或多门开发语言（Python，R，Java等），熟练掌握常用数据结构和算法；熟练掌握一种数据库，例如MySQL，精通SQL语言，并有实际应用和开发经验；6、	熟悉常用数据挖掘算法，包括但不限于决策树、逻辑回归以及神经网络等算法；7、优先考虑具有2年以上自然语言处理相关经验者（包括分词模型设置，语法/句法分析、消歧模型、文本分类/聚类等）。,外资（非欧美）,3-4年经验,http://jobs.51job.com/shanghai-xhq/83911088.html?s=01&t=0,"互联网/电子商务,医疗/护理/卫生",招聘2人,观澜网络(杭州)有限公司,180.0,3,150-500人,本科,12-23,0.03848099708557129,上海-徐汇区,数据挖掘工程师,jobs.51job.com
8000-20000/月,岗位描述：负责大数据相关的推荐/搜索算法相关的开发和应用。岗位要求：1、本科以上学历，扎实的统计学、数据挖掘、机器学习理论基础，能够利用高等数学知识推演高维数学模型；2、熟悉聚类、分类、回归、图模型等机器学习算法，对常见的核心算法理解透彻，有实际建模经验；3、具有扎实的计算机操作系统、数据结构等编程基础，熟悉至少一门编程语言例如java/python/R；4、深入理解Map-Reduce模型，对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验；5、有安防行业实践经验者优先；6、能够积极创新， 乐于面对挑战， 负责敬业；7、优秀的团队合作精神；诚实， 勤奋， 严谨。,上市公司,,http://jobs.51job.com/guangzhou/80461021.html?s=01&t=0,计算机软件,招聘若干人,浩云科技股份有限公司,180.0,3,1000-5000人,,12-23,0.039240121841430664,广州,数据挖掘工程师,jobs.51job.com
7000-10000/月,"工作职责：从各类平台海量数据中挖掘用户本质属性，并分析用户行为和个性化需求熟练应用统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题负责多维数据模型的规划与设计，参与业务数据报表需求分析，完成设计，并跟进落地负责业务核心指标的监控和跟踪分析，并对异常波动情况进行深入分析和问题定位工作需求：数学、计算机、统计学、计量经济学、金融学等相关专业本科以上学历，1年以上数据分析相关工作经验有较强的代码编写能力，有良好的数据库基础，熟练使用SQL或NoSQL，并能使用python,R,matlab,SAS或其他常用分析统计语言进行模型开发和验证工作具有较好的商业感觉和逻辑推理能力，善于从商业角度解读数据，有创造性思维和较强的学习能力，能推动数据分析结果落地沟通和表达能力较强，乐于接受挑战，有团队精神",民营公司,,http://jobs.51job.com/guangzhou/83237940.html?s=01&t=0,"金融/投资/证券,互联网/电子商务",招聘1人,广州财略金融信息科技有限公司,180.0,3,50-150人,,12-23,0.06658506393432617,广州,数据挖掘工程师 （优秀应届生）,jobs.51job.com
15000-25000/月,岗位职责：1、用户行为的分析和挖掘，构建用户画像、标签系统等；2、根据用户各维度特征，负责保险&健康服务产品的推荐；3、根据用户健康数据，建立和维护健康模型，构建健康预警；4、配合产品、运营的数据需求和数据应用；岗位要求：1、计算机或相关专业本科以上学历，2年以上相关工作经验；2、精通至少一种开发语言（Python，Ruby，Java等)、熟悉数据结构与算法、熟悉脚本编程，有良好的编程习惯；3、熟悉数据挖掘、机器学习等相关技术；4、优秀的分析和解决问题的能力，对挑战性问题充满激情；5、具备良好的团队合作精神，较强的沟通能力，具备良好的技术领导能力；6、有推荐项目经验、健康数据经验者优先。,民营公司,2年经验,http://jobs.51job.com/beijing-cyq/83381155.html?s=01&t=0,"互联网/电子商务,专业服务(咨询、人力资源、财会)",招聘1人,大特保,180.0,3,50-150人,本科,12-23,0.03282904624938965,北京-朝阳区,数据挖掘工程师,jobs.51job.com
15000-19999/月,"岗位职责：1、公司整体营销与运营数据分析，提出相关改善策略。2、 通过建模深入挖掘用户的有价值信息,构建用户数据平台。3、 参与或管理其他数据分析类项目的需求分析、建模、开发。4、按照实时性要求构建公司大数据平台与平台上的数据应用。5、持续的改进数据采集、处理、分析、报告等各个流程上的工作。任职资格：1、本科以上学历，计算机、统计和应用数学等专业，有3年以上数据分析或数据挖掘方面经验。2、了解基金、信托、互联网金融等业务。3、优秀的分析及解决问题的能力，具备数据思维能力，对数据敏感。4、良好的口头表达能力，语言亲和力强。5、熟悉数据仓库建设方法，有一定的建模知识与经验。",外资（非欧美）,3-4年经验,http://jobs.51job.com/shanghai-bsq/80468950.html?s=01&t=0,金融/投资/证券,招聘1人,嘉丰瑞德（上海）投资管理咨询有限公司,180.0,3,150-500人,本科,12-23,0.0647578239440918,上海-宝山区,数据挖掘工程师,jobs.51job.com
10000-14999/月,"岗位描述：1、分布式应用系统和平台的核心技术研究与开发。包括分布式存储、并行数据处理和计算、性能优化、易用性、可扩展性和复用性。2、分布式存储系统架构的设计和开发，多并发、高性能的存储和计算。3、大规模分布式机器学习算法的研究、设计与实现。岗位要求：1、计算机或者相关专业本科及以上学历，两年以上海量数据分布式处理系统的设计开发工作经验；2、熟悉java开发，熟练掌握java集合类、io、并发编程和熟悉jvm原理及内存管理,对数据结构、算法有深刻理解；3、熟悉hadoop、hive、hbase等分布式开源项目及工作原理，有丰富的集群部署、开发和维护管理经验；4、熟悉Linux操作系统，熟悉Shell脚本编程；5、熟悉Spark、kafka、redis、mahout、elasticsearch,优先考虑。",上市公司,,http://jobs.51job.com/beijing-cyq/83305221.html?s=01&t=0,"互联网/电子商务,广告",招聘1人,智唐科技（北京）股份有限公司,180.0,3,150-500人,,12-23,0.03620791435241699,北京-朝阳区,数据挖掘工程师,jobs.51job.com
10000-20000/月,"岗位职责：1.负责采集任务的分析及采集方案设计；2.负责定向网站相关渠道的数据采集；3.负责相关数据的采集、去重、清洗、分析、转换与入库；5.完成上级安排的数据采集相关工作。岗位要求：1.两年以上python开发经验，熟悉常用的信息抓取策略；2.熟悉信息抓取和整合技术，从结构化和非结构化的数据中获取信息；3.熟悉正则表达式4.熟悉Mongodb、HBase、HIVE等NoSQL数据库、Mysql数据库，了解关系型数据库优先；5.熟悉大规模网页爬取，深度网页爬取，熟悉Scrapy、Pyspider等工具优先考虑；6.理解http，熟悉html, DOM, xpath优先；7.有责任心，学习能力强，良好的团队合作精神，对工作有热情；8.本科以上学历，数学、统计学、计算机等相关专业。",外资（非欧美）,,http://jobs.51job.com/shanghai-zbq/84386135.html?s=01&t=0,"计算机软件,互联网/电子商务",招聘3人,智慧芽信息科技（苏州）有限公司,180.0,3,150-500人,,12-23,0.031015872955322266,上海-闸北区,Python开发工程师（数据采集数据挖掘方向）,jobs.51job.com
