salary,job_info,enterprise_attr,job_url,enterprise_industry,job_num,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
面议 ,"<strong>工作职责：</strong><br>负责企业业务的数据分析和挖掘工作，利用统计和机器学习算法，根据业务需求进行相关数据分析和挖掘工作，支持相关业务发展，包括：业务需求模型化、数据清洗、变量加工、模型构建、模型部署与监控等；<br>负责数据分析和挖掘技术体系的建设，负责数据挖掘团队的管理，帮助数据挖掘团队成长。<br><strong>工作要求：</strong><br>统计学、计算机、数学等相关专业，5年及以上数据分析挖掘、机器学习相关项目经验，2年以上团队管理经验，有互联网或运营商相关数据挖掘工作经历优先；<br>熟练掌握C/C++/Java/Python中一种或几种，熟悉Linux、SQL、shell、hadoop,有Spark/Storm/Druid/Elasticsearch等主流的大数据计算组件开发和使用经验者优先；<br>熟悉常用的分类聚类算法、如决策树、GDBT、逻辑回归，关联分析、SVM，贝叶斯、神经网络等数据挖掘算法，熟悉SAS、R、SPSS等数据挖掘工具进行数据分析和建模工作优先，有海量数据挖掘的项目经验优先；<br>具备良好的逻辑分析能力，对数据敏感，优秀的沟通协作能力，丰富的管理能力。",民营,http://jobs.zhaopin.com/120072290285751.htm,IT服务(系统/数据/维护),1人 ,10000人以上,深圳腾讯计算机系统有限公司,180.0,1,全职,5-10年,本科,2016-12-20,0.15967106819152832,上海,19332-数据挖掘开发Leader（上海）(职位编号：26907),jobs.zhaopin.com
25000-50000元/月 ,<p>岗位职责：</p><p>1.  负责公司相关产品的数据分析和挖掘，为用户提供更智能更专业的产品体验；</p><p>2.  通过对用户行为的分析，和运营团队一起更好地理解用户生命周期中的各种需求，不断优化用户产品体验和提升产品价值；</p><p>3.  支持公司其它部门的数据需求，提供决策支持。</p><p> </p><p>岗位要求：</p><p>1.    深厚的机器学习基础，2年以上数据科学相关工作经验；</p><p>2.    扎实的编程经验，熟练运用Java/Python/R/C++等编程语言；</p><p>3.    熟悉Hadoop和Spark平台，熟悉相关工具来处理海量数据，具有互联网行业数据经验优先；</p><p>4.    善于独立思考，逻辑清晰，热爱挑战，具备快速学习能力；</p><p>5.    热爱数据，对通过数据来分析和解决问题充满激情；</p><p>6.    具备良好的沟通能力和团队合作精神；</p><p>计算机、数学或统计等相关专业本科以上学历。</p><p><br></p>,合资,http://jobs.zhaopin.com/197121610250250.htm,计算机软件,2人 ,100-499人,上海合合信息科技发展有限公司,180.0,1,全职,3-5年,本科,2016-12-19,0.012455940246582031,上海,数据挖掘工程师,jobs.zhaopin.com
6001-8000元/月 ,<p>岗位职责：</p><p>1、负责各类数据的数据分析、数据挖掘、相关的算法、应用的设计与开发；</p><p>2、负责公司业务系统数据的整理、分析，利用数据分析结论推动产品的优化；</p><p>3、将模型、算法、结论转换成软件业务需求，指导研发人员完成软件功能研发；</p><p>4、对指定和潜在的课题做定量或定性的研究，提升公司在内部/经营数据分析方面的专业能力。</p><p><br></p><p>任职要求：</p><p>1、数学、统计、计算机等相关专业硕士以上学历；</p><p>2、具有良好的逻辑分析能力、沟通能力和文字表达能力</p><p>3、对决策树、主成分分析、聚类分析、关联分析、逻辑回归等算法有深入了解；</p><p>4、熟悉数据挖掘类软件（如:R、Weka、SPSS、SAS ）操作和实现；</p><p>5、熟悉Oracle、Mysql等数据库，精通SQL；</p><p>6、能够独立完成数据清洗，建模及模型优化的挖掘过程；</p><p>7、对数据挖掘领域兴趣浓厚，能够不断的自我学习；</p><p>8、有团队负责或管理经验者优先；</p><p><br></p><p>有相关工作经验者或能力优秀者可面议</p><p><br></p>,民营,http://jobs.zhaopin.com/530921626250186.htm,计算机软件,1人 ,100-499人,上海闻政管理咨询有限公司,180.0,1,全职,1-3年,本科,2016-12-19,0.20666217803955078,上海,数据分析/挖掘工程师,jobs.zhaopin.com
8000-15000元/月 ,<p>岗位职责：</p><p>1. 制作日常报表，监控数据指标</p><p>2. 负责产品相关业务线用户的行为分析，营收分析，活动效果评估等，产出相关报告，为产品运营提供支持</p><p>3. 检测并分析行业竞品情况，收集并解读相关用户和市场研究报告/信息，为公司产品规划提供支持</p><p>4. 在充分熟悉业务逻辑的情况下，根据公司发展的方向和战略，对数据进行分析和深度挖掘，提出针对性的报告。</p><p><br></p><p>任职要求：</p><p>1. 本科及以上学历</p><p>2. 2年以上的互联网行业经验</p><p>3. 熟练使用SQL，Excel，PPT等软件，独立编写数据分析报告</p><p>4. 熟悉各类数据分析研究模型与研究方法优先。</p>,民营,http://jobs.zhaopin.com/445054188250028.htm,互联网/电子商务,1人 ,20-99人,湖南丰美行网络科技有限公司,180.0,1,全职,3-5年,大专,2016-12-19,0.21825599670410156,上海,数据分析师/竞品调查/数据挖掘,jobs.zhaopin.com
10000-20000元/月 ,<p></p><p> </p><p> </p><p>任职标准：</p><p> </p><p>要求：</p><p>1、全日制211或留学背景，本科及以上学历。</p><p>2、统计学、数学、计算机相关专业。</p><p>3、两年以上数据挖掘领域相关项目经验。</p><p>4、有SAS、R 或Python相关技能。</p><p> </p><p>有班车</p><p> </p><p>有金融经验者优先！</p><p>   </p><p></p><p><br></p>,上市公司,http://jobs.zhaopin.com/000544466274392.htm,互联网/电子商务,3人 ,10000人以上,软通动力信息技术(集团)有限公司,180.0,1,全职,1-3年,本科,2016-12-19,0.036824941635131836,上海,数据挖掘,jobs.zhaopin.com
10001-15000元/月 ,<p><strong>岗位职责：</strong></p><p>1.   能够根据研究问题，制定研究计划，分析与疾病和健康相关的二代测序基因组学数据， 优化分析方案，解释分析结果；</p><p>2.   与数据库工程师合作对基因组学大数据进行分析，统计，管理，整合和可视化；</p><p>3.   带领团队开发和应用新的生物信息学方法和数据处理流程处理基因组学大数据，获取新的有意义的结果；</p><p>4.   对公司的相关项目和团队提供生物信息技术支持。<br><strong>任职要求：</strong></p><p>1.     硕士及以上学历，生物信息学，生物统计学，计算生物学及相关专业毕业，具有良好的生物学基础知识；</p><p>2.     具有2年及以上芯片数据，二代测序数据（外显子测序，全基因组测序，RNA测序）分析经验；</p><p>3.     能够理解和熟练使用相关生物信息学软件的基本原理和使用步骤，具有很好的统计学和数学基础；</p><p>4.     有癌症基因组学，群体遗传学，疾病遗传学方向大数据分析整合处理经验者优先；</p><p>5.     有机器学习，数据建模，生物信息学算法开发相关经验者优先；</p><p>6.     具备优秀的团队协作能力和管理能力，良好的理解能力和沟通能力。</p>,合资,http://jobs.zhaopin.com/371983017250232.htm,医药/生物工程,2人 ,100-499人,上海伯豪生物技术有限公司,180.0,1,全职,不限,不限,2016-12-19,0.16876602172851562,上海,高级生物信息研发工程师（数据挖掘方向）,jobs.zhaopin.com
8000-15000元/月 ,"<p>岗位职责：</p><p>1、 负责对海量数据进行分析和挖掘，提取有价值的信息。</p><p>2、 负责数据挖掘相关的算法、应用的设计与开发。</p><p>3、 负责基于分布式系统的数据挖掘平台的建设。</p><p>4、 跟踪学习世界先进的建模和数据挖掘技术，与同事共享知识和经验。</p><p><br></p><p><br></p><p>任职要求：</p><p>1、 本科或以上学历, 工作经验无要求, 应届毕业生亦可；数学、计算机、通信、自动化等相关专业。</p><p><span style=""line-height: 1.5;"">2、  喜欢IT行业, 确定未来要投身于互联网,大数据,人工智能等IT领域, 能承受一定工作压力，想要从事一些具有挑战性的技术研发工作。</span><br></p><p><span style=""line-height: 1.5;"">3、至少会一门编程语言（C,  C++,  Python,  Java,  Scala,  Go），喜欢研究编程技术，并可以使用编程语言简单实现一些算法。</span><br></p><p><span style=""line-height: 1.5;"">4、 有良好的算法基础和逻辑思维推导能力, 感兴趣并自学过下列任何技术之一的:</span><br></p><p>机器学习, 自然语言处理, 人工智能, 数据挖掘, 高性能计算, 数学建模, 分布式科学计算。</p><p><span style=""line-height: 1.5;"">5、 英语熟练，能够熟练阅读英文专业资料。</span><br></p><p><br></p>",股份制企业,http://jobs.zhaopin.com/379814418250038.htm,通信/电信运营、增值服务,1人 ,20-99人,上海思贤信息技术股份有限公司,180.0,1,全职,1-3年,本科,2016-12-19,0.40387511253356934,上海,数据挖掘工程师,jobs.zhaopin.com
10001-15000元/月 ,<p>岗位职责：<br>1、从事数学建模、时间序列数据分析及数据挖掘应用方法研究；<br>2、进行优化算法的研究；<br>3、与开发部门配合实现相应的数据分析模块的开发；<br>4、参加地下管线智能监控云平台的开发。</p><p>任职要求：<br>1、本科及以上学历，数学、统计、计算机相关专业；<br>2、熟悉MATLAB、SPSS、SAS、R等统计软件，熟悉Matlab开发者优先；<br>3、熟悉C/C++、Basic、java、Fortran等任意一门编程语言，有程序基础者优先；<br>4、数学基础扎实，逻辑思维能力强，有较好的统计知识；<br>5、具备较好的英文阅读能力，可以快速的从文献中找到关键的信息</p><p><br></p>,民营,http://jobs.zhaopin.com/302282885250022.htm,计算机软件,2人 ,20-99人,上海智态数据科技有限公司,180.0,1,全职,1-3年,本科,2016-12-19,0.2860758304595947,上海,大数据分析与数据挖掘算法工程师,jobs.zhaopin.com
10000-18000元/月 ,<p>职位描述：<br>- 实施数据挖掘项目；<br>- 数据挖掘项目的售前支持等。<br><br>任职资格： <br>- 硕士及以上学历，博士优先，计算机或数学、统计学专业毕业；<br>- 具有深厚的统计学、数学、人工智能和数据挖掘知识基础，精通数据挖掘方法论，熟悉数据挖掘项目过程；<br>- 二年以上相关工作经验，丰富的数据挖掘实际项目实施经验；<br>- 熟悉SAS、IBM　Intelligence Miner、SPSS Clementine或其它数据挖掘工具；<br>- 有责任感、敬业，善于沟通，有管理和领导才能。</p>,外商独资,http://jobs.zhaopin.com/135108463250683.htm,计算机软件,2人 ,500-999人,上海吉贝克信息技术有限公司,180.0,1,全职,3-5年,硕士,2016-12-15,0.18637800216674805,上海,数据挖掘工程师,jobs.zhaopin.com
15000-25000元/月 ,"<p>职位描述：</p><p>1. 运用数据挖掘/机器学习的理论和方法，构建数据模型，解决业务实际问题，驱动和优化业务； <br>2. 包括但不限于用户画像画像，等搭建基础的数据模型，为上层应用提供支持； <br>3. 参与数据挖掘/机器学习系统的架构设计和开发； <br>4. 指导初级工程师，分享和交流，促进团队的进步和发展。  <br><br>任职资格： <br>1. 理工类211、985院校计算机、数据、统计学相关专业硕士以上学历，4年以上工作经历； <br>2. 精通一门或多门开发语言 (java, Python等)，熟练使用常用算法和数据结构； <br>3. 了解前沿技术，熟悉主流机器学习、数据挖掘或nlp模型算法，如分类/聚类/回归、topic 模型、神经网络等； <br>4. 掌握hadoop,spark等分布式大数据处理技术和机器学习框架； <br>5. 具备较强的数据敏感度和分析能力，能够针对业务提炼指标评估策略价值及发现关键问题.； <br>6. 优秀的沟通能力，踏实和坚持不懈的工作态度。</p>",民营,http://jobs.zhaopin.com/430618636250529.htm,互联网/电子商务,1人 ,20-99人,上海宏鹿信息技术服务有限公司,180.0,1,全职,5-10年,硕士,2016-12-19,0.1526050567626953,上海,高级数据挖掘工程师,jobs.zhaopin.com
