salary,job_info,enterprise_attr,job_url,enterprise_industry,job_num,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
10000-20000元/月 ,<p>岗位职责：</p><p>1、负责数据挖掘和机器学习相关数据处理算法的研究及大数据平台的开发； </p><p>2、负责基于文本的标准大数据的自动检索、比对、智能评估和智能决策的算法研究；</p><p>3、参与大数据平台的建设，将模型研究成果固化为平台上的应用引擎，助力大数据平台和企业产品平台的性能提升。 </p><p> </p><p>任职要求：</p><p>1、计算机、数学、人工智能相关专业毕业，硕士及以上学历，3年以上大数据相关研究及开发经验；</p><p>2、具有扎实的数学功底，对于主流的聚类、分类算法有过研究；</p><p>3、对于主流挖掘算法参数调优或过程调优具有相关经验；</p><p>4、有中文分词、词性标注、文本无监督学习经验者优先考虑；</p><p>5、能熟练运用SPSS、SAS、R等等任意一种数据分析挖掘工具；</p><p>6、有Hadoop、 MapReduce、Storm 、Spark开发经验者优先考虑。</p><p></p>,民营,http://jobs.zhaopin.com/272746082250131.htm,IT服务(系统/数据/维护),2人 ,100-499人,润申信息科技(上海)有限公司,180.0,1,全职,3-5年,硕士,2016-12-20,0.04431891441345215,上海,大数据算法工程师,jobs.zhaopin.com
15001-20000元/月 ,<p><br></p><p>工作职责：<br>1.负责携程大数据基础平台开发与管理<br>2.负责大数据基础设施建设：数据采集系统，调度系统，数据开发工具以及可视化工具<br>3.助力携程数据化运营业务，构建丰富多样的大数据应用。<br><br>任职资格：<br>1.	精通Java，能熟练使用Web应用开发框架如Spring，Mybatis等<br>2.	熟悉Javascript，了解当前主流的前端开发技术，如AngularJS<br>3.	有数据开发平台的开发经验，参与过数据调度，传输，主数据（元数据），质量工具等系统的开发<br>4.	具备一定内部系统产品设计的经验<br>5.	逻辑思维严密，具备一定的项目管理和沟通的能力<br>6.	熟悉维度建模和数据仓库数据管理相关的知识（Big Plus）<br>7.	熟悉Hadoop，Hive，Spark相关知识（Plus）<br>8.	熟悉HBase，Redis等NOSQL DB（Plus）<br></p>,上市公司,http://jobs.zhaopin.com/270820211264692.htm,互联网/电子商务,2人 ,10000人以上,携程计算机技术(上海)有限公司,180.0,1,全职,不限,本科,2016-12-20,0.3004190921783447,上海,大数据开发工程师,jobs.zhaopin.com
10001-15000元/月 ,<p>岗位职责:<br></p><p>负责讯飞运营商广告平台后端的大数据能力平台建设，包括：<br>1）大数据ETL系统、BI系统<br>2）实时分析系统（Spark、storm）<br>3）用户标签数据挖掘、DMP系统<br>4）广告大数据的效果分析工作<br>等。</p> ,股份制企业,http://jobs.zhaopin.com/205108417253995.htm,通信/电信运营、增值服务,4人 ,1000-9999人,科大讯飞股份有限公司,180.0,1,全职,不限,本科,2016-12-20,0.22499704360961914,上海,运营商广告-大数据分析工程师-上海/合肥(职位编号：iflytek001546),jobs.zhaopin.com
8000-15000元/月 ,<p>岗位职责：</p><p>1、	负责战略区域、补充区域的市场开拓和产品服务销售工作；</p><p>2、	负责个人销售目标的实现和客户关系的维护；</p><p>3、负责个人专业能力的提升和目标客户的研究；</p><p>4、负责公司交办的其它事项。</p><p><br></p><p>任职要求：</p><p>1、	本科或以上学历，市场营销、理工科背景为佳；</p><p>2、	在信息服务行业或知识产权领域有4年以上成功的市场销售工作经验优先，或有过软件、硬件、系统集成行业领域销售经验亦可；</p><p>3、	拥有优秀的服务方案设计和撰写能力；</p><p>4、	具有良好的沟通技能和团队精神。</p><p><br></p>,民营,http://jobs.zhaopin.com/437477516250685.htm,专业服务/咨询(财会/法律/人力资源等),3人 ,100-499人,北京合享新创信息科技有限公司,180.0,1,全职,3-5年,本科,2016-12-20,0.042533159255981445,上海,大客户经理(大数据领域),jobs.zhaopin.com
15001-20000元/月 ,<p>工作职责:</p><p>1．企业级和项目级BI系统及大数据平台的搭建与开发</p><p>2．数据挖掘及用户画像分析</p><p>3．能根据公司布置要求完成相关工作</p><p>4．不断研究大数据领域技术并在项目中合理采用</p><p>职位要求:</p><p>1．计算机或相关专业毕业，有三年以上（含三年）工作经验</p><p>2．熟悉大数据技术包括Hadoop、Storm、Hive、HBase、Zookeeper等，对分布式数据处理和数据存储设计有很强的理解和优化能力</p><p>3．熟悉数据仓库原理，熟悉SQL语言，良好的SQL功底，较强的关系型数据库（MySql、SqlServer、PostgreSQL）Schema设计能力，能对关系型数据库进行性能优化</p><p>4．熟悉各大NoSql解决方案，包含但不限于Mongodb、Redis、HBase等存储方案</p><p>5．精通JAVA开发语言，能针对主流数据日志采集agent（flume、logstash）做二次开发</p><p>6．熟悉Linux操作系统，熟练使用Shell或Python完成相关工作</p><p>7．具备面对压力，较好的解决问题能力；具有优秀的自主学习能力，自我管理能力，具有高度责任心</p><p>8．有网游运营公司工作经验及互联网大数据开发经验者优先考虑</p><p>9．喜欢开源，在Github上有自己的开源项目者优先考虑</p>,股份制企业,http://jobs.zhaopin.com/189901015250133.htm,IT服务(系统/数据/维护),1人 ,20-99人,上海壮游信息科技有限公司,180.0,1,全职,3-5年,大专,2016-12-20,0.19376301765441895,上海,JAVA大数据开发工程师,jobs.zhaopin.com
10000-16000元/月 ,<p>职位说明：</p><p>1、负责公司大数据处理处理和分析平台的架构和开发；</p><p>2、为项目组提供大数据分析手段支撑；</p><p>3、提供大数据平台上的数据挖掘产品规划，配合产品同事进行相关产品研发；</p><p>4、在部门内普及大数据处理知识和技能。</p><p><br></p><p>任职资格：</p><p>1、两年以上Java开发相关工作经验，熟悉Java核心技术；</p><p>2、熟悉常用的数据库如oralce、mysql等关系型数据库，有分布式缓存、分布式存储技术经验者优先；</p><p>3、熟悉大数据基础架构，对流式系统、并行计算、实时流计算等技术有较深的理解；</p><p>4、熟悉Hadoop、Hive、Hbase、Storm等技术和架构；</p><p>5、熟悉JavaScript/理解jQuery等框架/HTML5/Bootstrap者优先；</p><p>6、责任心强，具有良好的团队合作精神，学习能力强；</p><p>7、熟悉爬虫技术、文本挖掘算法和推荐算法者优先。</p>,股份制企业,http://jobs.zhaopin.com/120747254258663.htm,通信/电信运营、增值服务,1人 ,1000-9999人,北京思特奇信息技术股份有限公司,180.0,1,全职,3-5年,本科,2016-12-20,0.010462045669555664,上海,大数据业务部门_Java高级工程师,jobs.zhaopin.com
20001-30000元/月 ,<p>岗位职责： </p><p>1、承担部门省内的项目管理、省内团队管理、核心业务需求调研与分析等工作； </p><p>2、负责系统设计工作，完成设计说明书编写； </p><p>3、制定项目开发计划，配置项目人员，组织实施开发项目，进行项目管理； </p><p>4、指导项目组人员按照要求完成文档编写，软件开发及测试、实施等工作； </p><p>5、负责与用户、高层管理及第三方沟通交流，并汇报相关信息； </p><p>6、控制项目的范围、质量、进度和成本，带领团队成员使项目的各项指标达到并超越目标要求。 </p><p><br></p><p>任职要求： </p><p>1、本科及本科以上学历，计算机相关专业毕业； </p><p>2、4年以上的Java开发工作经验，3年以上的独立承担Java项目管理经验； </p><p>3、精通Java面向对象编程，J2EE架构 ，熟练使用MyEclipse开发工具； </p><p>4、熟悉数据库调优及数据库开发； </p><p>5、熟练掌握Springmvc、SSH框架； </p><p>6、熟悉APP终端的应用开发； </p><p>7、熟悉Webservice、XML的应用开发； </p><p>8、熟悉Tomcat、Websphere等应用服务器的建立及部署，了解Linux基本操作； </p><p>9、熟悉UML，系统分析和设计，能按照规范的软件开发流程，完成软件的需求、设计、编码和测试工作，具有规范的开发文档写作能力； </p><p>10、具备良好的项目管理能力和团队协作能力； </p><p>11、具有良好的沟通能力，高度的责任感； </p><p>12、具有较强的学习能力及快速解决问题的能力。</p>,股份制企业,http://jobs.zhaopin.com/120747254258343.htm,通信/电信运营、增值服务,1人 ,1000-9999人,北京思特奇信息技术股份有限公司,180.0,1,全职,5-10年,本科,2016-12-20,0.008700132369995117,上海,大数据业务部门_技术经理（BOSD）,jobs.zhaopin.com
8000-10000元/月 ,<p>岗位职责：</p><p>1、主要负责数据分析类项目的开发、实施。</p><p><br></p><p>任职要求：</p><p>1、计算机相关专业本科及以上学历，1-2年（实际开发工作经验）以上oracle或mysql平台项目开发经验；  </p><p>2、对hive有了解和开发经验优先考虑；</p><p>3、熟悉linux环境和命令，能编写简单的shell脚本； </p><p>4、有集群数据库的开发使用经验者优先； </p><p>5、逻辑思维能力强，沟通和表达能力较好，能主动学习和主动承担工作任务；</p><p>6、利用大数据平台实现对数据的分析和处理；</p><p>7、有很强的编程能力，至少精通一门主流编程语言。</p>,股份制企业,http://jobs.zhaopin.com/120747254258619.htm,通信/电信运营、增值服务,1人 ,1000-9999人,北京思特奇信息技术股份有限公司,180.0,1,全职,1-3年,本科,2016-12-20,0.00855398178100586,上海,云方向业务部门_大数据工程师,jobs.zhaopin.com
10000-15000元/月 ,"<p>岗位职责：</p><p>1、负责基于大数据平台数据分析类项目的设计与开发实施。</p><p><br></p><p>任职要求：</p><p>1、国家正规院校，计算机、数学、信息技术相关专业本科及以上学历;</p><p>2、熟悉电信行业，有经分、BOSS平台设计,三年以上工作经验；</p><p>3、熟练hive编程语言，有hive开发经验；</p><p>4、有python脚本使用经验者优先考虑；</p><p>5、有良好的沟通和协调能力，具备带队完成软件项目过程中的客户交流、功能设计及开发上线工作；</p><p>6、承压能力强，能适应短期高强度工作下的压力和自我调节，有良好的团队协作精神。</p>",股份制企业,http://jobs.zhaopin.com/120747254258620.htm,通信/电信运营、增值服务,1人 ,1000-9999人,北京思特奇信息技术股份有限公司,180.0,1,全职,3-5年,本科,2016-12-20,0.009076118469238281,上海,云方向业务部门_大数据高级工程师,jobs.zhaopin.com
8001-10000元/月 ,<p>岗位职责</p><p>1.参与项目及产品编码工作；</p><p>2.参与相关项目文档编写工作。</p><p><br></p><p>职位要求</p><p>1.计算机相关专业，本科及以上学历；</p><p>2.2年以上Java开发经历，熟悉Html/CSS/Javascript及Jquery、Spring、HTML编程；</p><p>3.熟悉B/S架构应用系统的开发，掌握eclipse开发工具 ；</p><p>4.能使用和开发Mysql数据库系统的编程；</p><p>5.精通Spring、ibatis、struts等主流开源框架和技术；</p><p>6.熟练使用SVN版本管理工具；</p><p>7.具备良好的学习能力和抗压能力，对技术研究有热情；</p><p>8.熟悉云计算与与大数据信息处理相关技术优先。</p>,股份制企业,http://jobs.zhaopin.com/120747254258662.htm,通信/电信运营、增值服务,1人 ,1000-9999人,北京思特奇信息技术股份有限公司,180.0,1,全职,1-3年,本科,2016-12-20,0.07846498489379883,上海,大数据业务部门_Java开发工程师,jobs.zhaopin.com
